1	AT1G09530	no_paralog	POC1	39.03	 AT-LC:1.00	10/35	 RSF1 RGA2 RGL1 RGA1 PHYB RGL2 PIL6 PHYD RGL3 TOC1	regulation of transcription, DNA-templated;signal transduction;circadian rhythm;gravitropism;response to red or far red light;de-etiolation;gibberellic acid mediated signaling pathway;red or far-red light signaling pathway;positive regulation of anthocyanin metabolic process	nucleus	DNA binding;sequence-specific DNA binding transcription factor activity;protein binding;identical protein binding
2	AT4G32980	no_paralog	ATH1	28.72	 AT-CC:0.94 AT-CX:0.06	7/35	 RSF1 STH2 HB4 PIL1 PIL6 PHYD IAA29	sulfur amino acid metabolic process;glycine catabolic process;unsaturated fatty acid biosynthetic process;oxidoreduction coenzyme metabolic process;vitamin metabolic process;negative regulation of cell proliferation;cellular amino acid biosynthetic process;aromatic amino acid family metabolic process;lipoate metabolic process;coenzyme biosynthetic process;nucleotide metabolic process;response to light stimulus;photomorphogenesis;jasmonic acid biosynthetic process;embryo development ending in seed dormancy;leaf morphogenesis;thylakoid membrane organization;meristem maintenance;stomatal complex morphogenesis;floral organ abscission;vegetative to reproductive phase transition of meristem;regulation of gibberellin biosynthetic process;chlorophyll metabolic process;chlorophyll biosynthetic process;carotenoid biosynthetic process;iron-sulfur cluster assembly;mRNA modification;regulation of lipid metabolic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;secondary metabolic process;cell differentiation;oxylipin biosynthetic process;sulfur compound biosynthetic process;positive regulation of transcription, DNA-templated;ovule development;organ development;shoot organ boundary specification	nucleus	DNA binding;sequence-specific DNA binding transcription factor activity;protein binding;sequence-specific DNA binding
3	AT3G04580	no_paralog	EIN4	26.42	 AT-DC:0.51 AT-PG:0.37 AT-CC:0.12	5/35	 CKX5 PHYB PHYD PHYE TOC1	abscisic acid-activated signaling pathway;negative regulation of ethylene-activated signaling pathway;endoplasmic reticulum unfolded protein response;intracellular signal transduction	endoplasmic reticulum	protein histidine kinase activity;protein serine/threonine kinase activity;receptor activity;ethylene binding
4	AT5G43700	AT1G04250	IAA4	23.81	 AT-CX:0.43 AT-CC:0.37 AT-HT:0.19	4/35	 PIN3 HB4 MSG2 IAA29	regulation of translation;microtubule nucleation;response to auxin;cytokinin-activated signaling pathway;response to cyclopentenone	intracellular;nucleus	DNA binding;sequence-specific DNA binding transcription factor activity
5	AT2G20180	no_paralog	PIL5	23.60	 AT-LC:0.82 AT-CC:0.11 HS-LC:0.07	5/35	 RSF1 PHYB SRL2 PIL6 TOC1	regulation of transcription, DNA-templated;heme biosynthetic process;gibberellin biosynthetic process;gibberellic acid mediated signaling pathway;seed germination;negative gravitropism;regulation of seed germination;regulation of photomorphogenesis;negative regulation of photomorphogenesis;red light signaling pathway;negative regulation of seed germination;chlorophyll biosynthetic process;reproductive structure development	nucleus	DNA binding;sequence-specific DNA binding transcription factor activity;protein binding;phytochrome binding;identical protein binding
6	AT4G28640	AT1G04100	IAA11	23.40	 AT-CX:0.39 AT-CC:0.37 AT-HT:0.23	4/35	 PIN3 HB4 MSG2 IAA29	response to auxin;response to cyclopentenone	nucleus;plasmodesma	sequence-specific DNA binding transcription factor activity;protein binding
7	AT2G33310	AT1G04550	IAA13	22.82	 AT-CX:0.41 AT-CC:0.39 AT-HT:0.20	4/35	 PIN3 HB4 MSG2 IAA29	RNA splicing, via endonucleolytic cleavage and ligation;methionine biosynthetic process;response to auxin	nucleus	sequence-specific DNA binding transcription factor activity;protein binding
8	AT4G14560	no_paralog	IAA1	21.32	 AT-CX:0.56 AT-HT:0.26 AT-LC:0.18	4/35	 PIN3 MSG2 YUC8 IAA29	response to auxin;response to brassinosteroid;response to cyclopentenone;lateral root development	nucleus	sequence-specific DNA binding transcription factor activity;protein binding;identical protein binding
9	AT3G63010	no_paralog	GID1B	20.61	 AT-LC:1.00	5/35	 RGA2 RGL1 RGA1 RGL2 RGL3	MAPK cascade;response to superoxide;protein targeting to membrane;cell communication;signal transduction;cell death;response to cold;response to water deprivation;response to ethylene;response to auxin;response to abscisic acid;abscisic acid-activated signaling pathway;response to gibberellin;gibberellic acid mediated signaling pathway;response to jasmonic acid;hormone-mediated signaling pathway;seed germination;systemic acquired resistance, salicylic acid mediated signaling pathway;salicylic acid mediated signaling pathway;jasmonic acid mediated signaling pathway;ethylene-activated signaling pathway;positive regulation of gibberellic acid mediated signaling pathway;seed dormancy process;raffinose family oligosaccharide biosynthetic process;regulation of plant-type hypersensitive response;gibberellin mediated signaling pathway;endoplasmic reticulum unfolded protein response;negative regulation of defense response;hyperosmotic salinity response;negative regulation of programmed cell death;floral organ morphogenesis;defense response to fungus	nucleus	protein binding
10	AT5G27320	AT3G05120	GID1C	20.61	 AT-LC:1.00	5/35	 RGA2 RGL1 RGA1 RGL2 RGL3	response to ethylene;response to abscisic acid;response to gibberellin;gibberellic acid mediated signaling pathway;seed germination;salicylic acid mediated signaling pathway;jasmonic acid mediated signaling pathway;positive regulation of gibberellic acid mediated signaling pathway;seed dormancy process;raffinose family oligosaccharide biosynthetic process;gibberellin mediated signaling pathway;hyperosmotic salinity response;floral organ morphogenesis	nucleus	protein binding
11	AT3G05120	AT5G27320	GID1A	20.50	 AT-LC:1.00	5/35	 RGA2 RGL1 RGA1 RGL2 RGL3	response to ethylene;response to abscisic acid;response to gibberellin;gibberellic acid mediated signaling pathway;seed germination;salicylic acid mediated signaling pathway;jasmonic acid mediated signaling pathway;positive regulation of gibberellic acid mediated signaling pathway;seed dormancy process;raffinose family oligosaccharide biosynthetic process;gibberellin mediated signaling pathway;hyperosmotic salinity response;floral organ morphogenesis	nucleus;cytoplasm	protein binding;gibberellin binding
12	AT5G57360	AT2G18910	ZTL	20.41	 AT-DC:0.66 AT-LC:0.34	4/35	 PHYB PHYD PHYE TOC1	ubiquitin-dependent protein catabolic process;fatty acid beta-oxidation;circadian rhythm;response to red or far red light;flower development;response to red light;proteasomal protein catabolic process;protein import into peroxisome matrix;SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;regulation of circadian rhythm;entrainment of circadian clock by photoperiod;cellular macromolecule catabolic process	nucleus;cytosol;SCF ubiquitin ligase complex	ubiquitin-protein ligase activity;protein binding;blue light photoreceptor activity
13	AT1G04610	AT2G33230	YUC3	20.31	 AT-CC:1.00	4/35	 YUC9 YUC2 YUC8 YUC5	auxin biosynthetic process	nucleus	na
14	AT5G58140	no_paralog	PHOT2	19.31	 AT-DC:0.69 AT-LC:0.21 AT-PG:0.10	5/35	 PHYB FUS1 PHYD PHYE DWF2	maltose metabolic process;rRNA processing;response to blue light;phototropism;response to high light intensity;response to sucrose;chloroplast relocation;thylakoid membrane organization;stomatal complex morphogenesis;response to red light;stomatal movement;regulation of proton transport;photosystem II assembly;response to far red light;negative regulation of anion channel activity by blue light;mRNA modification;starch biosynthetic process;glucosinolate biosynthetic process;ncRNA metabolic process;regulation of protein dephosphorylation;transcription from plastid promoter;positive regulation of catalytic activity;positive regulation of transcription, DNA-templated;protein autophosphorylation	Golgi apparatus;plasma membrane;membrane	protein serine/threonine kinase activity;blue light photoreceptor activity;FMN binding;kinase activity;identical protein binding
15	AT5G35750	no_paralog	HK2	19.22	 AT-PG:0.53 AT-DC:0.47	3/35	 PHYB PHYD TOC1	response to osmotic stress;response to water deprivation;response to toxic substance;response to salt stress;cytokinin-activated signaling pathway;response to abscisic acid;regulation of flower development;regulation of seed germination;phloem or xylem histogenesis;regulation of chlorophyll catabolic process;regulation of anthocyanin metabolic process;negative regulation of iron ion transport;regulation of meristem development;regulation of shoot system development;cellular response to cold;cellular response to abscisic acid stimulus;secondary growth	plasma membrane	protein histidine kinase activity;osmosensor activity;protein binding;cytokinin receptor activity;kinase binding;identical protein binding;protein histidine kinase binding
16	AT1G15580	AT1G80390 AT3G15540	IAA5	19.13	 AT-CX:0.52 AT-HT:0.48	3/35	 PIN3 MSG2 IAA29	response to auxin;response to brassinosteroid;response to cyclopentenone	nucleus	sequence-specific DNA binding transcription factor activity
17	AT1G15050	AT2G01200	IAA34	18.66	 AT-CC:0.50 AT-HT:0.50	3/35	 HB4 MSG2 IAA29	response to auxin	nucleus	sequence-specific DNA binding transcription factor activity
18	AT3G62100	AT2G46990	IAA30	18.59	 AT-CC:0.63 AT-CX:0.37	4/35	 CKX5 HB4 MSG2 IAA29	gravitropism;response to auxin;somatic embryogenesis;response to cyclopentenone;root development	nucleus	sequence-specific DNA binding transcription factor activity
19	AT5G35840	no_paralog	PHYC	18.18	 AT-CC:0.55 AT-LC:0.45	3/35	 PHYB PHYD PHYE	circadian rhythm;gravitropism;red or far-red light signaling pathway;regulation of proton transport;protein autophosphorylation	na	protein histidine kinase activity;protein binding
